categoria,receita_bruta,custo_frete_total,total_itens_vendidos,receita_liquida_pos_frete,margem_percentual_pos_frete
agro_industria_e_comercio,72530.47,5843.6,212,66686.87,91.94
alimentos,29393.41,7271.03,510,22122.38,75.26
alimentos_bebidas,15179.48,4507.99,278,10671.49,70.3
artes,24202.64,4045.17,209,20157.47,83.29
artes_e_artesanato,1814.01,370.13,24,1443.88,79.6
artigos_de_festas,4485.18,827.97,43,3657.21,81.54
artigos_de_natal,8800.82,3229.2999999999997,153,5571.52,63.31
audio,50688.5,5710.44,364,44978.06,88.73
automotivo,592720.11,92664.21,4235,500055.89999999997,84.37
bebes,411764.89,68353.11,3065,343411.78,83.4
bebidas,22428.7,5741.25,379,16687.45,74.4
beleza_saude,1258681.34,182566.73,9670,1076114.61,85.5
brinquedos,483946.6,77425.95,4117,406520.64999999997,84.0
cama_mesa_banho,1036988.68,204693.04,11115,832295.64,80.26
casa_conforto,58572.04,8501.23,434,50070.81,85.49
casa_conforto_2,760.27,410.31,30,349.96,46.03
casa_construcao,83088.12,13832.24,604,69255.87999999999,83.35
cds_dvds_musicais,730.0,224.98999999999998,14,505.01,69.18
cine_foto,6933.46,1256.2,72,5677.26,81.88
climatizacao,55024.96,6749.23,297,48275.729999999996,87.73
consoles_games,157465.22,19828.02,1137,137637.2,87.41
construcao_ferramentas_construcao,144677.59,20650.41,929,124027.18,85.73
construcao_ferramentas_ferramentas,15903.95,2030.22,103,13873.730000000001,87.23
construcao_ferramentas_iluminacao,41080.0,7583.8,304,33496.2,81.54
construcao_ferramentas_jardim,25715.89,5311.4,238,20404.489999999998,79.35
construcao_ferramentas_seguranca,40544.52,3919.1,194,36625.42,90.33
cool_stuff,635290.85,84039.1,3796,551251.75,86.77
dvds_blu_ray,5999.39,1288.74,64,4710.650000000001,78.52
eletrodomesticos,80171.53,14818.9,771,65352.63,81.52
eletrodomesticos_2,113317.74,10600.18,238,102717.56,90.65
eletronicos,160246.74,46578.32,2767,113668.41999999998,70.93
eletroportateis,190648.58,16020.25,679,174628.33,91.6
esporte_lazer,988048.97,168607.51,8641,819441.46,82.94
fashion_bolsas_e_acessorios,152823.54,31450.0,2031,121373.54000000001,79.42
fashion_calcados,23562.77,4918.87,262,18643.9,79.12
fashion_esporte,2119.51,578.13,30,1541.38,72.72
fashion_roupa_feminina,2803.64,621.75,48,2181.89,77.82
fashion_roupa_infanto_juvenil,569.85,95.51,8,474.34000000000003,83.24
fashion_roupa_masculina,10797.82,2152.41,132,8645.41,80.07
fashion_underwear_e_moda_praia,9541.55,1916.19,131,7625.359999999999,79.92
ferramentas_jardim,485256.46,98962.75,4347,386293.71,79.61
flores,1110.04,488.87,33,621.17,55.96
fraldas_higiene,1567.59,573.68,39,993.91,63.4
industria_comercio_e_negocios,39669.61,7884.68,268,31784.93,80.12
informatica_acessorios,911954.32,147318.08,7827,764636.24,83.85
instrumentos_musicais,191498.88,18638.49,680,172860.39,90.27
la_cuisine,2054.99,333.55,14,1721.4399999999998,83.77
livros_importados,4639.85,769.85,60,3870.0000000000005,83.41
livros_interesse_geral,46856.88,9195.52,553,37661.36,80.38
livros_tecnicos,19096.06,4283.06,267,14813.0,77.57
malas_acessorios,140429.98,30445.23,1092,109984.75000000001,78.32
market_place,28378.47,5456.06,311,22922.41,80.77
moveis_colchao_e_estofado,4368.08,1630.46,38,2737.62,62.67
moveis_cozinha_area_de_servico_jantar_e_jardim,46328.37,11999.43,281,34328.94,74.1
moveis_decoracao,729762.49,172749.3,8334,557013.19,76.33
moveis_escritorio,273960.7,68571.95,1691,205388.75,74.97
moveis_quarto,20028.78,4632.23,109,15396.55,76.87
moveis_sala,68916.56,17968.170000000002,503,50948.39,73.93
musica,6034.35,690.51,38,5343.84,88.56
papelaria,230943.23,46798.48,2517,184144.75,79.74
pc_gamer,1545.95,133.57,9,1412.38,91.36
pcs,222963.13,9836.3,203,213126.83000000002,95.59
perfumaria,399124.87,54213.84,3419,344911.03,86.42
pet_shop,214315.41,39561.24,1947,174754.17,81.54
portateis_casa_forno_e_cafe,47445.71,2747.86,76,44697.85,94.21
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,309.76,15,3658.7699999999995,92.19
relogios_presentes,1205005.68,100535.93,5991,1104469.75,91.66
seguros_e_servicos,283.28999999999996,41.22,2,242.06999999999996,85.45
sinalizacao_e_seguranca,21509.23,6507.820000000001,199,15001.41,69.74
tablets_impressao_imagem,7528.41,1226.2,83,6302.21,83.71
telefonia,323667.52999999997,71215.79,4545,252451.74,78.0
telefonia_fixa,59583.0,4637.81,264,54945.19,92.22
utilidades_domesticas,632248.66,146149.11,6964,486099.55000000005,76.88
