categoria,receita_bruta,custo_frete_total,total_itens_vendidos,receita_liquida_pos_frete,margem_percentual_pos_frete
pcs,222963.13,9836.3,203,213126.83000000002,95.59
portateis_casa_forno_e_cafe,47445.71,2747.86,76,44697.85,94.21
telefonia_fixa,59583.0,4637.81,264,54945.19,92.22
portateis_cozinha_e_preparadores_de_alimentos,3968.5299999999997,309.76,15,3658.7699999999995,92.19
agro_industria_e_comercio,72530.47,5843.6,212,66686.87,91.94
relogios_presentes,1205005.68,100535.93,5991,1104469.75,91.66
eletroportateis,190648.58,16020.25,679,174628.33,91.6
pc_gamer,1545.95,133.57,9,1412.38,91.36
eletrodomesticos_2,113317.74,10600.18,238,102717.56,90.65
construcao_ferramentas_seguranca,40544.52,3919.1,194,36625.42,90.33
